Species_ID,Name,Genus,Family,Order,Class,Phylum,Kingdom,Superkingdom
1061 , Rhodobacter capsulatus  , Rhodobacter , Paracoccaceae , Rhodobacterales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
10623 , Kappapapillomavirus 2  , Kappapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
106284 , Phietavirus ETA  , Phietavirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1063 , Cereibacter sphaeroides  , Cereibacter , Paracoccaceae , Rhodobacterales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
106370 , Frankia casuarinae  , Frankia , Frankiaceae , Frankiales , Actinomycetes , Actinomycetota , , Bacteria 
106592 , Ensifer adhaerens  , Ensifer , Rhizobiaceae , Hyphomicrobiales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
10661 , Corticovirus PM2  , Corticovirus , Corticoviridae , Vinavirales , Tectiliviricetes , Preplasmiviricota , Bamfordvirae , Viruses 
10665 , Tequatrovirus T4  , Tequatrovirus , Straboviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10677 , Muvirus mu  , Muvirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10678 , Punavirus P1  , Punavirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10679 , Peduovirus P2  , Peduovirus , Peduoviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10683 , Takahashivirus PBS1  , Takahashivirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10685 , Okubovirus SPO1  , Okubovirus , Herelleviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1069 , Rhodomicrobium vannielii  , Rhodomicrobium , Hyphomicrobiaceae , Hyphomicrobiales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
10690 , Hpunavirus HP1  , Hpunavirus , Peduoviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1069220 , Mycolicibacillus koreensis  , Mycolicibacillus , Mycobacteriaceae , Mycobacteriales , Actinomycetes , Actinomycetota , , Bacteria 
1069378 , Helicobacter phage phiHP33  , Schmidvirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1070130 , Candidatus Gullanella endobia  , Candidatus Gullanella , Enterobacteriaceae , Enterobacterales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
10708 , Casadabanvirus D3112  , Casadabanvirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10710 , Lambdavirus lambda  , Lambdavirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10726 , Tequintavirus T5  , Tequintavirus , Demerecviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1073767 , Kyungwonvirus Esp29491  , Kyungwonvirus , Drexlerviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1073996 , Halohasta litchfieldiae  , Halohasta , Haloferacaceae , Haloferacales , Halobacteria , Euryarchaeota , , Archaea 
10742 , Shamshuipovirus HK022  , Shamshuipovirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1074214 , Rodent stool-associated circular genome virus  , Glamdringvirus , Vilyaviridae , Cirlivirales , Arfiviricetes , Cressdnaviricota , Shotokuvirae , Viruses 
1074325 , Sclerotinia sclerotiorum hypovirus 1  , Hypovirus , Hypoviridae , Durnavirales , Duplopiviricetes , Pisuviricota , Orthornavirae , Viruses 
1074467 , Companilactobacillus heilongjiangensis  , Companilactobacillus , Lactobacillaceae , Lactobacillales , Bacilli , Bacillota , , Bacteria 
1075 , Fuscovulum blasticum  , Fuscovulum , Paracoccaceae , Rhodobacterales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
10752 , Enquatrovirus N4  , Enquatrovirus , Schitoviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10756 , Salasvirus phi29  , Salasvirus , Salasmaviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1076 , Rhodopseudomonas palustris  , Rhodopseudomonas , Nitrobacteraceae , Hyphomicrobiales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
1076124 , Phytohabitans flavus  , Phytohabitans , Micromonosporaceae , Micromonosporales , Actinomycetes , Actinomycetota , , Bacteria 
1076255 , Yokapox virus  , Centapoxvirus , Poxviridae , Chitovirales , Pokkesviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
1076588 , Thiolapillus brandeum  , Thiolapillus , Sedimenticolaceae , Chromatiales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1076626 , Candidatus Steffania adelgidicola  , Candidatus Steffania , , , Gammaproteobacteria , Pseudomonadota , , Bacteria 
107709 , Opitutus terrae  , Opitutus , Opitutaceae , Opitutales , Opitutae , Verrucomicrobiota , , Bacteria 
10778 , Beecentumtrevirus B103  , Beecentumtrevirus , Salasmaviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1079 , Blastochloris viridis  , Blastochloris , Blastochloridaceae , Hyphomicrobiales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
1081631 , Candidatus Schneideria nysicola  , Candidatus Schneideria , Enterobacteriaceae , Enterobacterales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1082704 , Lonsdalea britannica  , Lonsdalea , Pectobacteriaceae , Enterobacterales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
10837 , Digitaria streak virus  , Mastrevirus , Geminiviridae , Geplafuvirales , Repensiviricetes , Cressdnaviricota , Shotokuvirae , Viruses 
1084 , Pararhodospirillum photometricum  , Pararhodospirillum , Rhodospirillaceae , Rhodospirillales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
10847 , Sinsheimervirus phiX174  , Sinsheimervirus , Microviridae , Petitvirales , Malgrandaviricetes , Phixviricota , Sangervirae , Viruses 
1084719 , Donellivirus gee  , Donellivirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10855 , Spiromicrovirus SpV4  , Spiromicrovirus , Microviridae , Petitvirales , Malgrandaviricetes , Phixviricota , Sangervirae , Viruses 
1085624 , Persicobacter sp. JZB09  , Persicobacter , Persicobacteraceae , Cytophagales , Cytophagia , Bacteroidota , , Bacteria 
10862 , Coriovirus Cf1c  , Coriovirus , Inoviridae , Tubulavirales , Faserviricetes , Hofneiviricota , Loebvirae , Viruses 
10869 , Lineavirus I22  , Lineavirus , Inoviridae , Tubulavirales , Faserviricetes , Hofneiviricota , Loebvirae , Viruses 
1091052 , Limestonevirus limestone  , Limestonevirus , Ackermannviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
109266 , Anabaenopsis circularis  , Anabaenopsis , Aphanizomenonaceae , Nostocales , Cyanophyceae , Cyanobacteriota , , Bacteria 
109270 , Equine foamy virus  , Equispumavirus , Retroviridae , Ortervirales , Revtraviricetes , Artverviricota , Pararnavirae , Viruses 
109472 , Bisgaardia hudsonensis  , Bisgaardia , Pasteurellaceae , Pasteurellales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1096 , Chlorobium phaeobacteroides  , Chlorobium , Chlorobiaceae , Chlorobiales , Chlorobiia , Chlorobiota , , Bacteria 
1097 , Chlorobaculum tepidum  , Chlorobaculum , Chlorobiaceae , Chlorobiales , Chlorobiia , Chlorobiota , , Bacteria 
10991 , Rice dwarf virus  , Phytoreovirus , Sedoreoviridae , Reovirales , Resentoviricetes , Duplornaviricota , Orthornavirae , Viruses 
1100 , Pelodictyon luteolum  , Pelodictyon , Chlorobiaceae , Chlorobiales , Chlorobiia , Chlorobiota , , Bacteria 
1102 , Prosthecochloris aestuarii  , Prosthecochloris , Chlorobiaceae , Chlorobiales , Chlorobiia , Chlorobiota , , Bacteria 
11020 , Barmah Forest virus  , Alphavirus , Togaviridae , Martellivirales , Alsuviricetes , Kitrinoviricota , Orthornavirae , Viruses 
1105381 , Posavirus 2  , Posavirus , , Picornavirales , Pisoniviricetes , Pisuviricota , Orthornavirae , Viruses 
110539 , Mycolicibacterium vanbaalenii  , Mycolicibacterium , Mycobacteriaceae , Mycobacteriales , Actinomycetes , Actinomycetota , , Bacteria 
1108 , Chloroflexus aurantiacus  , Chloroflexus , Chloroflexaceae , Chloroflexales , Chloroflexia , Chloroflexota , , Bacteria 
1108595 , Chromobacterium vaccinii  , Chromobacterium , Chromobacteriaceae , Neisseriales , Betaproteobacteria , Pseudomonadota , , Bacteria 
1109412 , Brenneria goodwinii  , Brenneria , Pectobacteriaceae , Enterobacterales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1109716 , Rerduovirus RGL3  , Rerduovirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
111015 , Actinomyces radicidentis  , Actinomyces , Actinomycetaceae , Actinomycetales , Actinomycetes , Actinomycetota , , Bacteria 
1112 , Erythrobacter neustonensis  , Erythrobacter , Erythrobacteraceae , Sphingomonadales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
111501 , Allomuricauda ruestringensis  , Allomuricauda , Flavobacteriaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
1115758 , Romboutsia ilealis  , Romboutsia , Peptostreptococcaceae , Eubacteriales , Clostridia , Bacillota , , Bacteria 
1118202 , Cruoricaptor ignavus  , Cruoricaptor , Weeksellaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
111831 , Defluviicoccus vanus  , Defluviicoccus , Rhodospirillaceae , Rhodospirillales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
111955 , Sulfurisphaera tokodaii  , Sulfurisphaera , Sulfolobaceae , Sulfolobales , Thermoprotei , Thermoproteota , , Archaea 
1123043 , Telmatocola sphagniphila  , Telmatocola , Gemmataceae , Gemmatales , Planctomycetia , Planctomycetota , , Bacteria 
112437 , Oat necrotic mottle virus  , Tritimovirus , Potyviridae , Patatavirales , Stelpaviricetes , Pisuviricota , Orthornavirae , Viruses 
1124597 , Magnetococcus marinus  , Magnetococcus , Magnetococcaceae , Magnetococcales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
1124849 , Pseudomonas phage OBP  , Petsuvirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1125847 , Pseudorhizobium banfieldiae  , Pseudorhizobium , Rhizobiaceae , Hyphomicrobiales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
1125966 , Polycladomyces abyssicola  , Polycladomyces , Thermoactinomycetaceae , Bacillales , Bacilli , Bacillota , , Bacteria 
1126 , Microcystis aeruginosa  , Microcystis , Microcystaceae , Chroococcales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1131703 , Sphaerochaeta globosa  , Sphaerochaeta , Sphaerochaetaceae , Spirochaetales , Spirochaetia , Spirochaetota , , Bacteria 
1133546 , Luteimicrobium xylanilyticum  , Luteimicrobium , , Micrococcales , Actinomycetes , Actinomycetota , , Bacteria 
1134405 , Melioribacter roseus  , Melioribacter , Melioribacteraceae , Ignavibacteriales , Ignavibacteria , Ignavibacteriota , , Bacteria 
1134435 , Thauera humireducens  , Thauera , Zoogloeaceae , Rhodocyclales , Betaproteobacteria , Pseudomonadota , , Bacteria 
113608 , Tetrapisispora phaffii  , Tetrapisispora , Saccharomycetaceae , Saccharomycetales , Saccharomycetes , Ascomycota , Fungi , Eukaryota 
113653 , Geoglobus ahangari  , Geoglobus , Archaeoglobaceae , Archaeoglobales , Archaeoglobi , Euryarchaeota , , Archaea 
1137095 , Scytonema sp. HK-05  , Scytonema , Scytonemataceae , Nostocales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1138822 , Lentilactobacillus curieae  , Lentilactobacillus , Lactobacillaceae , Lactobacillales , Bacilli , Bacillota , , Bacteria 
1141134 , Chivirus SPN19  , Chivirus , Casjensviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
114186 , Candidatus Carsonella ruddii  , Candidatus Carsonella , Halomonadaceae , Oceanospirillales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1141883 , Massilia putida  , Massilia , Oxalobacteraceae , Burkholderiales , Betaproteobacteria , Pseudomonadota , , Bacteria 
1145276 , Lysinibacillus varians  , Lysinibacillus , Bacillaceae , Bacillales , Bacilli , Bacillota , , Bacteria 
1148 , Synechocystis sp. PCC 6803  , Synechocystis , Merismopediaceae , Synechococcales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1155739 , Moorena producens  , Moorena , Oscillatoriaceae , Oscillatoriales , Cyanophyceae , Cyanobacteriota , , Bacteria 
11569 , Thogotovirus thogotoense  , Thogotovirus , Orthomyxoviridae , Articulavirales , Insthoviricetes , Negarnaviricota , Orthornavirae , Viruses 
1157339 , Aeropyrum coil-shaped virus  , Alphaspiravirus , Spiraviridae , , , , , Viruses 
1159327 , Pontimonas salivibrio  , Pontimonas , Microbacteriaceae , Micrococcales , Actinomycetes , Actinomycetota , , Bacteria 
1159556 , Ustilaginoidea virens  , Ustilaginoidea , Clavicipitaceae , Hypocreales , Sordariomycetes , Ascomycota , Fungi , Eukaryota 
115987 , Biquartavirus 44RR2  , Biquartavirus , Straboviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1159906 , Sparrow coronavirus HKU17  , Deltacoronavirus , Coronaviridae , Nidovirales , Pisoniviricetes , Pisuviricota , Orthornavirae , Viruses 
115991 , Pseudotevenvirus RB43  , Pseudotevenvirus , Straboviridae , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
1160 , Planktothrix agardhii  , Planktothrix , Microcoleaceae , Oscillatoriales , Cyanophyceae , Cyanobacteriota , , Bacteria 
116056 , Pelargonium zonate spot virus  , Anulavirus , Bromoviridae , Martellivirales , Alsuviricetes , Kitrinoviricota , Orthornavirae , Viruses 
1160784 , Candidatus Nasuia deltocephalinicola  , Candidatus Nasuia , , , Betaproteobacteria , Pseudomonadota , , Bacteria 
116090 , Caloranaerobacter azorensis  , Caloranaerobacter , Thermohalobacteraceae , Tissierellales , Tissierellia , Bacillota , , Bacteria 
1162966 , Naasia aerilata  , Naasia , Microbacteriaceae , Micrococcales , Actinomycetes , Actinomycetota , , Bacteria 
1164 , Trichormus azollae  , Trichormus , Nostocaceae , Nostocales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1165 , Anabaena cylindrica  , Anabaena , Nostocaceae , Nostocales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1165090 , Imtechella halotolerans  , Imtechella , Flavobacteriaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
1166950 , Candidatus Thiodictyon syntrophicum  , Thiodictyon , Chromatiaceae , Chromatiales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1170699 , Galbibacter sp. BG1  , Galbibacter , Flavobacteriaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
117157 , Actinopolymorpha singaporensis  , Actinopolymorpha , Actinopolymorphaceae , Propionibacteriales , Actinomycetes , Actinomycetota , , Bacteria 
117187 , Fusarium verticillioides  , Fusarium , Nectriaceae , Hypocreales , Sordariomycetes , Ascomycota , Fungi , Eukaryota 
117207 , Sphingopyxis alaskensis  , Sphingopyxis , Sphingomonadaceae , Sphingomonadales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
11723 , Simian immunodeficiency virus  , Lentivirus , Retroviridae , Ortervirales , Revtraviricetes , Artverviricota , Pararnavirae , Viruses 
1173025 , Geitlerinema sp. PCC 7407  , Geitlerinema , Geitlerinemataceae , Geitlerinematales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1173026 , Gloeocapsa sp. PCC 7428  , Gloeocapsa , Chroococcaceae , Chroococcales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1173032 , Chamaesiphon minutus  , Chamaesiphon , Chamaesiphonaceae , Gomontiellales , Cyanophyceae , Cyanobacteriota , , Bacteria 
11757 , Mouse mammary tumor virus  , Betaretrovirus , Retroviridae , Ortervirales , Revtraviricetes , Artverviricota , Pararnavirae , Viruses 
1176145 , Pipapillomavirus 2  , Pipapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1176146 , Rhopapillomavirus 1  , Rhopapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1176147 , Sigmapapillomavirus 1  , Sigmapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1176148 , Taupapillomavirus 1  , Taupapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1176149 , Upsilonpapillomavirus 2  , Upsilonpapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177211 , Candidatus Vallotia cooleyia  , Candidatus Vallotia , Burkholderiaceae , Burkholderiales , Betaproteobacteria , Pseudomonadota , , Bacteria 
1177712 , Komagataeibacter medellinensis  , Komagataeibacter , Acetobacteraceae , Rhodospirillales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
1177757 , Phipapillomavirus 1  , Phipapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177758 , Chipapillomavirus 1  , Chipapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177762 , Psipapillomavirus 1  , Psipapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177763 , Omegapapillomavirus 1  , Omegapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177764 , Dyodeltapapillomavirus 1  , Dyodeltapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177765 , Dyoepsilonpapillomavirus 1  , Dyoepsilonpapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177766 , Dyozetapapillomavirus 1  , Dyozetapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1177767 , Dyoetapapillomavirus 1  , Dyoetapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1179673 , Oerskovia sp. KBS0722  , Oerskovia , Cellulomonadaceae , Micrococcales , Actinomycetes , Actinomycetota , , Bacteria 
118000 , Denitrovibrio acetiphilus  , Denitrovibrio , Geovibrionaceae , Deferribacterales , Deferribacteres , Deferribacterota , , Bacteria 
118140 , Teschovirus A  , Teschovirus , Picornaviridae , Picornavirales , Pisoniviricetes , Pisuviricota , Orthornavirae , Viruses 
118163 , Pleurocapsa sp. PCC 7327  , Pleurocapsa , Hyellaceae , Pleurocapsales , Cyanophyceae , Cyanobacteriota , , Bacteria 
118323 , Oscillatoria acuminata  , Oscillatoria , Oscillatoriaceae , Oscillatoriales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1183401 , Agrobacterium fabacearum  , Agrobacterium , Rhizobiaceae , Hyphomicrobiales , Alphaproteobacteria , Pseudomonadota , , Bacteria 
1184 , Leptolyngbya boryana  , Leptolyngbya , Leptolyngbyaceae , Leptolyngbyales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1184387 , Mesotoga prima  , Mesotoga , Kosmotogaceae , Kosmotogales , Thermotogae , Thermotogota , , Bacteria 
1185412 , Vallitalea guaymasensis  , Vallitalea , Vallitaleaceae , Eubacteriales , Clostridia , Bacillota , , Bacteria 
118562 , Arthrospira platensis  , Arthrospira , Microcoleaceae , Oscillatoriales , Cyanophyceae , Cyanobacteriota , , Bacteria 
1188228 , Gloeomargarita lithophora  , Gloeomargarita , Gloeomargaritaceae , Gloeomargaritales , Cyanophyceae , Cyanobacteriota , , Bacteria 
